Vuln ID,Summary,CVSS Severity,Link
CVE-2017-11197,"In CyberArk Viewfinity 5.5.10.95 and 6.x before 6.1.1.220, a low privilege user can escalate to an administrative user via a bug within the ""add printer"" option.","May 03, 2023; 4:15:09 PM -0400",https://nvd.nist.gov/vuln/detail/CVE-2017-11197
CVE-2017-14454,"Multiple exploitable buffer overflow vulnerabilities exists in the PubNub message handler for the ""control"" channel of Insteon Hub running firmware version 1012. Specially crafted replies received from the PubNub service can cause buffer overflows on a global section overwriting arbitrary data. An attacker should impersonate PubNub and answer an HTTPS GET request to trigger this vulnerability. The `strcpy` at [18] overflows the buffer `insteon_pubnub.channel_al`, which has a size of 16 bytes.","January 11, 2023; 7:15:08 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-14454
CVE-2017-16256,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd sn_sx, at 0x9d014ebc, the value for the `cmd2` key is copied using `strcpy` to the buffer at `$sp+0x2d0`.This buffer is 100 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:09 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16256
CVE-2017-16257,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd sn_sx, at 0x9d014f28, the value for the `cmd3` key is copied using `strcpy` to the buffer at `$sp+0x2b0`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:09 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16257
CVE-2017-16258,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd sn_sx, at 0x9d014f7c, the value for the `cmd4` key is copied using `strcpy` to the buffer at `$sp+0x2b0`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:09 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16258
CVE-2017-16259,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_auth, at 0x9d015430, the value for the `usr` key is copied using `strcpy` to the buffer at `$sp+0x290`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:09 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16259
CVE-2017-16260,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_auth, at 0x9d015478, the value for the `pwd` key is copied using `strcpy` to the buffer at `$sp+0x2b0`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:09 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16260
CVE-2017-16261,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd g_b, at 0x9d015714, the value for the `grp` key is copied using `strcpy` to the buffer at `$sp+0x280`.This buffer is 16 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:09 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16261
CVE-2017-16262,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd g_b, at 0x9d015864, the value for the `id` key is copied using `strcpy` to the buffer at `$sp+0x290`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16262
CVE-2017-16263,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd g_b, at 0x9d015a8c, the value for the `val` key is copied using `strcpy` to the buffer at `$sp+0x2b0`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16263
CVE-2017-16264,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd l_b, at 0x9d015cfc, the value for the `grp` key is copied using `strcpy` to the buffer at `$sp+0x1b4`.This buffer is 8 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16264
CVE-2017-16265,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd l_bt, at 0x9d016104, the value for the `grp` key is copied using `strcpy` to the buffer at `$sp+0x1b4`.This buffer is 8 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16265
CVE-2017-16266,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_b, at 0x9d016530, the value for the `grp` key is copied using `strcpy` to the buffer at `$sp+0x1b4`.This buffer is 8 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16266
CVE-2017-16267,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_b, at 0x9d016578, the value for the `val` key is copied using `strcpy` to the buffer at `$sp+0x2b0`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16267
CVE-2017-16268,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_b, at 0x9d0165c0, the value for the `id` key is copied using `strcpy` to the buffer at `$sp+0x270`.This buffer is 16 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16268
CVE-2017-16269,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_b, at 0x9d01672c, the value for the `s_speaker` key is copied using `strcpy` to the buffer at `$sp+0x2d0`.This buffer is 100 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16269
CVE-2017-16270,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_b, at 0x9d01679c, the value for the `s_sonos_cmd` key is copied using `strcpy` to the buffer at `$sp+0x290`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16270
CVE-2017-16271,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd e_l, at 0x9d016c94, the value for the `as_c` key is copied using `strcpy` to the buffer at `$sp+0x2b0`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16271
CVE-2017-16272,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd e_l, at 0x9d016cf0, the value for the `grp` key is copied using `strcpy` to the buffer at `$sp+0x1b4`.This buffer is 8 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16272
CVE-2017-16273,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd e_ml, at 0x9d016fa8, the value for the `grp` key is copied using `strcpy` to the buffer at `$sp+0x1b4`.This buffer is 8 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16273
CVE-2017-16274,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd e_u, at 0x9d017364, the value for the `grp` key is copied using `strcpy` to the buffer at `$sp+0x1b4`.This buffer is 8 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16274
CVE-2017-16275,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd sn_grp, at 0x9d01758c, the value for the `grp` key is copied using `strcpy` to the buffer at `$sp+0x1b4`.This buffer is 8 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:10 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16275
CVE-2017-16276,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd sn_grp, at 0x9d0175f4, the value for the `gbt` key is copied using `strcpy` to the buffer at `$sp+0x280`.This buffer is 16 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:11 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16276
CVE-2017-16277,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd sn_grp, at 0x9d017658, the value for the `gcmd` key is copied using `strcpy` to the buffer at `$sp+0x270`.This buffer is 16 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:11 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16277
CVE-2017-16278,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_net, at 0x9d01815c, the value for the `ip` key is copied using `strcpy` to the buffer at `$sp+0x2d0`.This buffer is 100 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:11 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16278
CVE-2017-16279,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_net, at 0x9d0181a4, the value for the `port` key is copied using `strcpy` to the buffer at `$sp+0x280`.This buffer is 16 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:11 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16279
CVE-2017-16280,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_net, at 0x9d0181ec, the value for the `gate` key is copied using `strcpy` to the buffer at `$sp+0x290`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:11 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16280
CVE-2017-16281,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_net, at 0x9d018234, the value for the `sub` key is copied using `strcpy` to the buffer at `$sp+0x2b0`.This buffer is 32 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:11 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16281
CVE-2017-16282,"Multiple exploitable buffer overflow vulnerabilities exist in the PubNub message handler for the ""cc"" channel of Insteon Hub running firmware version 1012. Specially crafted commands sent through the PubNub service can cause a stack-based buffer overflow overwriting arbitrary data. An attacker should send an authenticated HTTP request to trigger this vulnerability. In cmd s_net, at 0x9d01827c, the value for the `dhcp` key is copied using `strcpy` to the buffer at `$sp+0x270`.This buffer is 16 bytes large, sending anything longer will cause a buffer overflow.","January 11, 2023; 5:15:11 PM -0500",https://nvd.nist.gov/vuln/detail/CVE-2017-16282
