CVE ID,Description,Published Date,Last Modified Date
CVE-1999-0095,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",1988-10-01T04:00:00.000,2019-06-11T20:29:00.263
CVE-1999-0082,CWD ~root command in ftpd allows root access.,1988-11-11T05:00:00.000,2008-09-09T12:33:40.853
CVE-1999-1471,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,1989-01-01T05:00:00.000,2008-09-05T20:19:36.257
CVE-1999-1122,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,1989-07-26T04:00:00.000,2018-05-03T01:29:04.817
CVE-1999-1467,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.",1989-10-26T04:00:00.000,2017-12-19T02:29:08.393
CVE-1999-1506,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.",1990-01-29T05:00:00.000,2008-09-05T20:19:41.257
CVE-1999-0084,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,1990-05-01T04:00:00.000,2024-08-01T21:35:07.727
CVE-2000-0388,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,1990-05-09T04:00:00.000,2008-09-10T19:04:33.930
CVE-1999-0209,The SunView (SunTools) selection_svc facility allows remote users to read files.,1990-08-14T04:00:00.000,2008-09-09T12:34:01.117
CVE-1999-1198,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.",1990-10-03T04:00:00.000,2008-09-05T20:18:57.260
CVE-1999-1391,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,1990-10-03T04:00:00.000,2008-09-05T20:19:24.600
CVE-1999-1392,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.,1990-10-03T04:00:00.000,2008-09-05T20:19:24.740
CVE-1999-1057,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.,1990-10-25T04:00:00.000,2008-09-05T20:18:37.230
CVE-1999-1554,"/usr/sbin/Mail on SGI IRIX 3.3 and 3.3.1 does not properly set the group ID to the group ID of the user who started Mail, which allows local users to read the mail of other users.",1990-10-31T05:00:00.000,2008-09-05T20:19:48.163
CVE-1999-1197,"TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.",1990-12-20T05:00:00.000,2008-09-05T20:18:57.117
CVE-1999-1115,"Vulnerability in the /etc/suid_exec program in HP Apollo Domain/OS sr10.2 and sr10.3 beta, related to the Korn Shell (ksh).",1990-12-31T05:00:00.000,2008-09-05T20:18:45.430
CVE-1999-1258,"rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.",1991-01-15T05:00:00.000,2017-10-10T01:29:04.857
CVE-1999-1438,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,1991-02-22T05:00:00.000,2008-09-05T20:19:31.490
CVE-1999-1211,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.,1991-03-27T05:00:00.000,2017-12-19T02:29:03.553
CVE-1999-1212,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.,1991-03-27T05:00:00.000,2017-12-19T02:29:03.613
CVE-1999-0095,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",1988-10-01T04:00:00.000,2019-06-11T20:29:00.263
CVE-1999-0082,CWD ~root command in ftpd allows root access.,1988-11-11T05:00:00.000,2008-09-09T12:33:40.853
CVE-1999-1471,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,1989-01-01T05:00:00.000,2008-09-05T20:19:36.257
CVE-1999-1122,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,1989-07-26T04:00:00.000,2018-05-03T01:29:04.817
CVE-1999-1467,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.",1989-10-26T04:00:00.000,2017-12-19T02:29:08.393
CVE-1999-1506,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.",1990-01-29T05:00:00.000,2008-09-05T20:19:41.257
CVE-1999-0084,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,1990-05-01T04:00:00.000,2024-08-01T21:35:07.727
CVE-2000-0388,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,1990-05-09T04:00:00.000,2008-09-10T19:04:33.930
CVE-1999-0209,The SunView (SunTools) selection_svc facility allows remote users to read files.,1990-08-14T04:00:00.000,2008-09-09T12:34:01.117
CVE-1999-1198,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.",1990-10-03T04:00:00.000,2008-09-05T20:18:57.260
CVE-1999-1391,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,1990-10-03T04:00:00.000,2008-09-05T20:19:24.600
CVE-1999-1392,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.,1990-10-03T04:00:00.000,2008-09-05T20:19:24.740
CVE-1999-1057,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.,1990-10-25T04:00:00.000,2008-09-05T20:18:37.230
CVE-1999-1554,"/usr/sbin/Mail on SGI IRIX 3.3 and 3.3.1 does not properly set the group ID to the group ID of the user who started Mail, which allows local users to read the mail of other users.",1990-10-31T05:00:00.000,2008-09-05T20:19:48.163
CVE-1999-1197,"TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.",1990-12-20T05:00:00.000,2008-09-05T20:18:57.117
CVE-1999-1115,"Vulnerability in the /etc/suid_exec program in HP Apollo Domain/OS sr10.2 and sr10.3 beta, related to the Korn Shell (ksh).",1990-12-31T05:00:00.000,2008-09-05T20:18:45.430
CVE-1999-1258,"rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.",1991-01-15T05:00:00.000,2017-10-10T01:29:04.857
CVE-1999-1438,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,1991-02-22T05:00:00.000,2008-09-05T20:19:31.490
CVE-1999-1211,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.,1991-03-27T05:00:00.000,2017-12-19T02:29:03.553
CVE-1999-1212,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.,1991-03-27T05:00:00.000,2017-12-19T02:29:03.613
CVE-1999-1194,"chroot in Digital Ultrix 4.1 and 4.0 is insecurely installed, which allows local users to gain privileges.",1991-05-01T04:00:00.000,2017-10-10T01:29:03.967
CVE-1999-1193,"The ""me"" user in NeXT NeXTstep 2.1 and earlier has wheel group privileges, which could allow the me user to use the su command to become root.",1991-05-14T04:00:00.000,2017-10-10T01:29:03.903
CVE-1999-1123,The installation of Sun Source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.,1991-05-20T04:00:00.000,2017-12-19T02:29:02.330
CVE-1999-1034,Vulnerability in login in AT&T System V Release 4 allows local users to gain privileges.,1991-05-23T04:00:00.000,2017-10-10T01:29:01.590
CVE-1999-1415,Vulnerability in /usr/bin/mail in DEC ULTRIX before 4.2 allows local users to gain privileges.,1991-08-23T04:00:00.000,2008-09-05T20:19:28.163
CVE-1999-1090,"The default configuration of NCSA Telnet package for Macintosh and PC enables FTP, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files.",1991-09-10T04:00:00.000,2017-10-10T01:29:01.950
CVE-1999-0498,"TFTP is not running in a restricted directory, allowing a remote attacker to access sensitive information such as password files.",1991-09-27T04:00:00.000,2022-08-17T08:15:13.177
CVE-1999-1468,"rdist in various UNIX systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable.",1991-10-22T04:00:00.000,2008-09-10T19:01:59.960
CVE-1999-0167,"In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system.",1991-12-06T05:00:00.000,2022-08-17T07:15:12.777
CVE-1999-1493,"Vulnerability in crp in Hewlett Packard Apollo Domain OS SR10 through SR10.3 allows remote attackers to gain root privileges via insecure system calls, (1) pad_$dm_cmd and (2) pad_$def_pfk().",1991-12-18T05:00:00.000,2017-12-19T02:29:08.970
CVE-1999-1032,Vulnerability in LAT/Telnet Gateway (lattelnet) on Ultrix 4.1 and 4.2 allows attackers to gain root privileges.,1991-12-31T05:00:00.000,2017-10-10T01:29:01.547
CVE-1999-1059,Vulnerability in rexec daemon (rexecd) in AT&T TCP/IP 4.0 for various SVR4 systems allows remote attackers to execute arbitrary commands.,1992-02-25T05:00:00.000,2008-09-05T20:18:37.527
CVE-1999-0627,"The rexd service is running, which uses weak authentication that can allow an attacker to execute commands.",1992-03-01T05:00:00.000,2022-08-17T08:15:14.547
CVE-1999-1121,The default configuration for UUCP in AIX before 3.2 allows local users to gain root privileges.,1992-03-19T05:00:00.000,2017-10-10T01:29:02.590
CVE-1999-0117,AIX passwd allows local users to gain root access.,1992-03-31T05:00:00.000,2022-08-17T07:15:11.260
CVE-1999-1119,"FTP installation script anon.ftp in AIX insecurely configures anonymous FTP, which allows remote attackers to execute arbitrary commands.",1992-04-27T04:00:00.000,2017-10-10T01:29:02.467
CVE-1999-1142,"SunOS 4.1.2 and earlier allows local users to gain privileges via ""LD_*"" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login, (2) su, or (3) sendmail, that change the real and effective user ids to the same user.",1992-05-27T04:00:00.000,2017-10-10T01:29:02.887
CVE-1999-0168,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions.",1992-06-04T04:00:00.000,2022-08-17T07:15:12.890
CVE-1999-0214,Denial of service by sending forged ICMP unreachable packets.,1992-07-21T04:00:00.000,2022-08-17T10:15:11.863
CVE-1999-1396,Vulnerability in integer multiplication emulation code on SPARC architectures for SunOS 4.1 through 4.1.2 allows local users to gain root access or cause a denial of service (crash).,1992-07-21T04:00:00.000,2008-09-05T20:19:25.337
CVE-1999-1395,Vulnerability in Monitor utility (SYS$SHARE:SPISHR.EXE) in VMS 5.0 through 5.4-2 allows local users to gain privileges.,1992-11-17T05:00:00.000,2009-10-31T04:02:35.750
CVE-1999-1306,"Cisco IOS 9.1 and earlier does not properly handle extended IP access lists when the IP route cache is enabled and the ""established"" keyword is set, which could allow attackers to bypass filters.",1992-12-10T05:00:00.000,2008-09-05T20:19:12.727
CVE-1999-1466,"Vulnerability in Cisco routers versions 8.2 through 9.1 allows remote attackers to bypass access control lists when extended IP access lists are used on certain interfaces, the IP route cache is enabled, and the access list uses the ""established"" keyword.",1992-12-10T05:00:00.000,2008-09-05T20:19:35.477
CVE-1999-1021,"NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade.",1992-12-30T05:00:00.000,2017-10-10T01:29:01.483
CVE-1999-1056,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1395.  Reason: This candidate is a duplicate of CVE-1999-1395.  Notes: All CVE users should reference CVE-1999-1395 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,1992-12-31T05:00:00.000,2023-11-07T01:55:06.290
CVE-1999-0312,HP ypbind allows attackers with root privileges to modify NIS data.,1993-01-13T05:00:00.000,2022-08-17T08:15:09.440
